Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2023/10/26,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3242.547529,3227.520171,3202.951742,3121.727848,3007.357263,2852.020434,2952.041262,3005.998332,3116.371153,3166.671537,3310.47535,3379.412564,3577.706982,3384.930979,3483.689789,3801.616471,4254.230896,4579.85146,4693.675045,4836.048367,5060.59743,5350.010141,5377.394446,5866.495758,6538.29642
Cameroon,CMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1951.600648,2014.298885,2083.234248,2164.670413,2236.100696,2339.840649,2502.379084,2567.223587,2673.563213,2786.085597,2838.695078,2848.329956,2882.7507,2957.163456,3022.358011,3194.162032,3369.32489,3437.789826,3559.13512,3691.094724,3822.232765,3915.827499,3870.829433,4083.307713,4408.046274
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,495.9580972,467.8942276,432.6993394,420.2721766,426.1746285,445.5148537,473.9589299,502.8971999,528.8716998,558.9001538,586.0287494,587.5528153,616.5323991,650.4366032,650.9215896,731.9328213,824.4124376,877.6808352,932.4051652,1023.539833,1073.446906,1104.843368,1102.553518,1184.720486,1337.391115
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3620.050855,3482.032021,3687.232246,3769.265332,3910.797434,3910.654111,4016.429446,4305.869938,4616.63511,4267.756861,4473.227068,4827.907091,5152.51779,5204.000834,6062.822776,5810.922383,5681.772202,4448.916586,3687.580949,4073.926085,3877.439563,3851.773555,3574.241387,3569.01749,3790.711307
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6825.870768,6520.964545,6753.464794,6911.727494,7085.62081,7398.183502,7888.450084,8412.996829,9135.678975,9891.37577,10291.19999,10357.33409,10830.19512,11694.72661,12095.6485,12798.66319,13390.03195,13378.67515,13971.33959,14334.91461,15161.31797,15872.30898,15103.07382,17105.00247,20287.40026
Comoros,COM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1614.172886,1635.195121,1818.022052,1864.204665,1898.09721,1937.861957,1989.610063,2069.178634,2146.123234,2177.670839,2261.348023,2301.971286,2367.778629,2464.354227,2655.734875,2795.243466,2887.065504,2884.774852,3053.302585,3240.17917,3374.041663,3430.21084,3402.871222,3562.544479,3832.468985
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2440.482101,2694.994132,3090.472389,3177.186894,3343.940511,3501.599578,3909.361813,4256.044522,4680.124627,5471.650916,5903.59523,5791.926305,5905.339326,6189.695734,6048.414068,6019.803303,5989.40483,6242.705232,6689.804951,7130.854152,7490.141372,8123.835201,6577.306014,7274.940576,9082.837643
Costa Rica,CRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7231.77471,7486.053004,7796.430885,8099.7124,8363.810725,8756.921955,9248.126628,9772.464327,10658.27763,11680.5728,12297.21336,12103.38185,12740.34097,13410.35454,14174.6021,14851.13544,15905.14794,16925.17941,18898.07522,20168.22048,21144.40977,22608.23216,21693.67282,22643.49501,24922.65927
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8521.6165,8978.956019,9455.624765,9819.114217,10286.84781,11090.7777,11801.38069,12530.80715,13774.56604,14569.71254,14982.20834,14480.71893,14784.34923,15173.55175,15447.92134,15686.543,15930.4936,15697.9834,15481.23262,16158.69294,16625.11211,16976.97237,15855.53218,17408.29844,21055.17319
Cuba,CUB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,
